category,title,language,stars,forks,stars_today,description,link,scraped_at
Trending,calesthio/OpenMontage,Python,"9,623","1,363",987 stars today,"World's first open-source, agentic video production system. 12 pipelines, 52 tools, 500+ agent skills. Turn your AI coding assistant into a full video production studio.",https://github.com/calesthio/OpenMontage,2026-06-22 12:01:06
Trending,chopratejas/headroom,Python,"45,327","3,151","2,624 stars today","Compress tool outputs, logs, files, and RAG chunks before they reach the LLM. 60-95% fewer tokens, same answers. Library, proxy, MCP server.",https://github.com/chopratejas/headroom,2026-06-22 12:01:06
Trending,ZhuLinsen/daily_stock_analysis,Python,"45,006","41,616",568 stars today,"LLM 驱动的多市场股票智能分析系统：多源行情、实时新闻、决策看板与自动推送，支持零成本定时运行。 LLM-powered multi-market stock analysis system with multi-source market data, real-time news, decision dashboard, automated notifications, and cost-free scheduled runs.",https://github.com/ZhuLinsen/daily_stock_analysis,2026-06-22 12:01:06
Trending,bytedance/deer-flow,Python,"72,816","9,856",442 stars today,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.",https://github.com/bytedance/deer-flow,2026-06-22 12:01:06
Trending,mukul975/Anthropic-Cybersecurity-Skills,Python,"17,947","2,150",361 stars today,"754 structured cybersecurity skills for AI agents · Mapped to 5 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND & NIST AI RMF · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 26 security domains · Apache 2.0",https://github.com/mukul975/Anthropic-Cybersecurity-Skills,2026-06-22 12:01:06
Trending,mikumifa/biliTickerBuy,Python,"3,760",468,67 stars today,b站会员购购票辅助工具,https://github.com/mikumifa/biliTickerBuy,2026-06-22 12:01:06
Trending,smicallef/spiderfoot,Python,"18,877","3,113",294 stars today,SpiderFoot automates OSINT for threat intelligence and mapping your attack surface.,https://github.com/smicallef/spiderfoot,2026-06-22 12:01:06
Trending,topoteretes/cognee,Python,"18,804","1,976",347 stars today,Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.,https://github.com/topoteretes/cognee,2026-06-22 12:01:06
Trending,public-apis/public-apis,Python,"443,404","48,600",207 stars today,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-06-22 12:01:06
Trending,THUDM/slime,Python,"6,641",956,91 stars today,slime is an LLM post-training framework for RL Scaling.,https://github.com/THUDM/slime,2026-06-22 12:01:06
Trending,Alishahryar1/free-claude-code,Python,"36,189","5,643",258 stars today,"Use claude code and codex for free in the terminal, VSCode extension, and discord like OpenClaw (voice supported)",https://github.com/Alishahryar1/free-claude-code,2026-06-22 12:01:06
Trending,NousResearch/hermes-agent,Python,"199,288","35,398",700 stars today,The agent that grows with you,https://github.com/NousResearch/hermes-agent,2026-06-22 12:01:06
